TIMECREATED;HISPOTYPE
2022-02-23 07:11:32.448;9
2022-02-23 07:06:48.691;11
2022-02-23 07:11:33.026;11
2022-02-23 07:11:42.371;11
2022-02-23 07:11:45.762;9
2022-02-23 07:11:47.590;11
2022-02-23 07:11:56.450;11
2022-02-23 07:13:42.521;11
2022-02-23 07:13:44.897;11
2022-02-23 07:13:45.209;9
2022-02-23 07:13:52.616;11
2022-02-23 07:13:54.304;11
2022-02-23 07:14:07.961;9
2022-02-23 07:07:47.430;11
2022-02-23 07:07:57.524;9
2022-02-23 07:08:09.744;11
2022-02-23 07:07:48.227;9
2022-02-23 07:07:56.352;11
2022-02-23 07:08:12.119;11
2022-02-23 07:08:13.588;11
2022-02-23 07:08:19.292;8
2022-02-23 07:08:19.323;39
2022-02-23 07:08:20.823;11
2022-02-23 07:08:21.120;9
2022-02-23 07:08:21.261;11
2022-02-23 07:08:24.745;32
2022-02-23 07:08:24.745;37
2022-02-23 07:08:24.761;36
2022-02-23 07:07:18.834;11
2022-02-23 07:14:21.368;11
2022-02-23 07:14:29.869;11
2022-02-23 07:14:31.635;11
2022-02-23 07:14:40.729;11
2022-02-23 07:14:43.136;9
2022-02-23 07:15:51.235;11
2022-02-23 07:16:02.580;9
2022-02-23 07:15:56.751;9
2022-02-23 07:15:59.751;11
2022-02-23 07:16:06.861;11
2022-02-23 07:16:09.143;11
2022-02-23 07:16:16.675;11
2022-02-23 07:16:25.379;9
2022-02-23 07:16:26.816;11
2022-02-23 07:16:27.613;9
2022-02-23 07:16:31.223;11
2022-02-23 07:16:34.176;9
2022-02-23 07:16:40.239;9
2022-02-23 07:08:46.857;11
2022-02-23 07:08:55.576;9
2022-02-23 07:08:24.839;9
2022-02-23 07:08:29.996;9
2022-02-23 07:08:55.623;11
2022-02-23 07:08:56.373;11
2022-02-23 07:08:56.498;9
2022-02-23 07:08:40.497;9
2022-02-23 07:09:47.315;9
2022-02-23 07:09:56.628;11
2022-02-23 07:10:00.472;11
2022-02-23 07:10:18.005;9
2022-02-23 07:10:26.177;11
2022-02-23 07:10:30.443;9
2022-02-23 07:10:31.850;11
2022-02-23 07:10:36.678;9
2022-02-23 07:09:45.705;11
2022-02-23 07:12:21.671;9
2022-02-23 07:12:22.296;9
2022-02-23 07:12:24.921;11
2022-02-23 07:12:35.094;8
2022-02-23 07:12:35.125;39
2022-02-23 07:12:39.610;9
2022-02-23 07:12:42.813;11
2022-02-23 07:12:47.189;9
2022-02-23 07:12:50.877;11
2022-02-23 07:12:51.220;11
2022-02-23 07:12:58.065;9
2022-02-23 07:12:59.299;11
2022-02-23 06:10:29.669;27
2022-02-23 06:10:29.575;2
2022-02-23 06:10:50.406;2
2022-02-23 06:10:50.469;27
2022-02-23 06:11:04.235;2
2022-02-23 06:11:04.314;27
2022-02-23 06:11:24.534;2
2022-02-23 06:19:47.418;27
2022-02-23 06:20:24.171;2
2022-02-23 06:20:24.265;27
2022-02-23 06:20:44.517;2
2022-02-23 06:20:44.595;27
2022-02-23 06:21:07.003;2
2022-02-23 06:21:07.112;27
2022-02-23 06:21:54.538;2
2022-02-23 06:21:54.632;27
2022-02-23 06:31:20.399;27
2022-02-23 06:30:48.412;27
2022-02-23 06:31:53.793;2
2022-02-23 06:31:53.918;27
2022-02-23 06:31:20.259;2
2022-02-23 06:31:57.590;24
2022-02-23 06:22:16.055;2
2022-02-23 06:29:52.470;2
2022-02-23 06:29:52.580;27
2022-02-23 06:30:27.582;2
2022-02-23 06:30:27.676;27
2022-02-23 06:31:37.979;2
2022-02-23 06:31:38.104;27
2022-02-23 06:31:41.057;24
2022-02-23 06:38:53.577;35
2022-02-23 06:11:42.332;2
2022-02-23 06:11:42.395;27
2022-02-23 06:12:01.271;2
2022-02-23 06:12:01.349;27
2022-02-23 06:12:15.476;2
2022-02-23 06:07:03.465;2
2022-02-23 06:07:03.527;27
2022-02-23 06:07:27.248;2
2022-02-23 06:07:27.326;27
2022-02-23 06:08:53.739;2
2022-02-23 06:27:41.176;27
2022-02-23 06:27:02.125;2
2022-02-23 06:27:02.235;27
2022-02-23 06:27:41.051;2
2022-02-23 06:09:26.351;2
2022-02-23 06:09:26.429;27
