DELIVERYTIME,NOOFLINES,STATUS,TOURNO,Country_EU
2022-02-21 00:00:00.000,5,30,DK05,
2012-01-18 00:00:00.000,2,25,ES05,
2022-02-21 00:00:00.000,36,30,DK05,
2022-02-21 00:00:00.000,5,30,ES05,
2022-02-21 00:00:00.000,2,30,IE05,
2022-02-21 00:00:00.000,90,30,IT05,
2022-02-21 00:00:00.000,68,30,NL05,
2022-02-21 00:00:00.000,50,30,PT05,
2015-04-14 00:00:00.000,36,25,NL05,
2022-02-21 00:00:00.000,11,30,PT05,
2020-12-07 00:00:00.000,3,10, ,
2022-02-22 00:00:00.000,4,30,DE01,
2022-02-21 00:00:00.000,1,30,DE01,
2022-02-23 00:00:00.000,125,30,CO05,
2022-02-21 00:00:00.000,0,99,AT05,
2022-02-21 00:00:00.000,1,30,ES05,
2012-03-13 00:00:00.000,10,25,BE05,
2015-04-21 00:00:00.000,55,25,FR05,
2022-02-21 00:00:00.000,7,30,ES05,
2015-04-17 00:00:00.000,2,25,PT05,
2015-04-07 00:00:00.000,4,25,BE05,
2015-04-20 00:00:00.000,89,25,NO05,
2015-04-16 00:00:00.000,61,25,IT05,
2015-04-20 00:00:00.000,39,25,DK05,
2015-04-07 00:00:00.000,43,25,CH05,
2015-04-20 00:00:00.000,68,25,SE02,
2015-04-17 00:00:00.000,14,25,FR05,
2015-04-21 00:00:00.000,14,25,NL05,
2019-11-25 00:00:00.000,1,10, ,
2015-04-17 00:00:00.000,5,25,PT05,
2022-02-21 00:00:00.000,1,30,AT05,
2015-04-07 00:00:00.000,70,25,AT05,
2015-04-20 00:00:00.000,6,25,IT05,
2015-04-20 00:00:00.000,5,25,SG05,
2015-04-20 00:00:00.000,0,25,ES05,
2015-04-20 00:00:00.000,5,25,ES05,
2015-04-16 00:00:00.000,28,25,FR05,
2015-04-07 00:00:00.000,5,25,FR05,
2015-04-07 00:00:00.000,51,25,FR05,
2015-04-13 00:00:00.000,126,25,CH05,
2015-04-13 00:00:00.000,10,25,FR05,
2015-04-20 00:00:00.000,7,25,PT05,
2015-04-13 00:00:00.000,18,25,ES05,
2015-04-16 00:00:00.000,56,25,BE05,
2015-04-20 00:00:00.000,4,25,CH05,
2015-04-14 00:00:00.000,158,25,AE05,
2015-04-21 00:00:00.000,236,25,IT05,
2015-04-07 00:00:00.000,1,25,ES05,
2015-04-16 00:00:00.000,5,25,IT05,
2015-04-17 00:00:00.000,4,25,PT05,
2019-07-30 00:00:00.000,1,10, ,
2015-04-20 00:00:00.000,125,25,LU05,
2015-04-16 00:00:00.000,3,25,ES05,
2015-04-16 00:00:00.000,2,25,FR05,
2019-07-04 00:00:00.000,3,10, ,
2019-07-04 00:00:00.000,1,10, ,
2019-07-04 00:00:00.000,1,10, ,
2019-07-04 00:00:00.000,1,10, ,
2015-04-20 00:00:00.000,153,25,ES05,
2015-04-09 00:00:00.000,35,25,IT05,
2015-04-17 00:00:00.000,1,25,IT05,
2015-04-20 00:00:00.000,12,25,ES05,
2015-04-16 00:00:00.000,39,25,IT05,
2015-04-13 00:00:00.000,60,25,GB05,
2015-04-07 00:00:00.000,3,25,ES05,
2015-04-07 00:00:00.000,43,25,ES05,
2015-04-13 00:00:00.000,54,25,CH05,
2015-04-20 00:00:00.000,78,25,IT05,
2015-04-17 00:00:00.000,1,25,ES05,
2015-04-07 00:00:00.000,129,25,IT05,
2015-04-07 00:00:00.000,0,25,ES05,
2015-04-13 00:00:00.000,5,25,FR05,
2019-04-17 00:00:00.000,4,10, ,
2015-04-20 00:00:00.000,84,25,AT05,
2015-04-20 00:00:00.000,3,25,GB05,
2015-04-16 00:00:00.000,10,25,GB05,
2015-04-07 00:00:00.000,65,25,NL05,
2015-04-24 00:00:00.000,2,25,CA05,
2015-04-07 00:00:00.000,4,25,FR05,
2015-04-16 00:00:00.000,1,25,CH05,
2015-04-13 00:00:00.000,191,25,IT05,
2015-04-13 00:00:00.000,2,25,IT05,
2015-04-17 00:00:00.000,1,25,MY05,
2015-04-07 00:00:00.000,88,25,GB05,
2015-04-20 00:00:00.000,10,25,SE02,
2015-04-20 00:00:00.000,1,25,ES05,
2015-04-13 00:00:00.000,17,25,ES05,
2015-04-20 00:00:00.000,28,25,FR05,
2015-04-17 00:00:00.000,178,25,IT05,
2015-04-13 00:00:00.000,47,25,FR05,
2015-04-10 00:00:00.000,1,25,BE05,
2019-07-04 00:00:00.000,0,10, ,
2015-04-10 00:00:00.000,11,25,NL05,
2019-08-09 00:00:00.000,3,10, ,
2015-04-10 00:00:00.000,4,25,IN05,
2015-04-10 00:00:00.000,30,25,FR05,
2015-04-13 00:00:00.000,6,25,SE02,
2015-04-15 00:00:00.000,87,25,BR05,
2015-04-10 00:00:00.000,8,25,ES05,
2015-04-10 00:00:00.000,11,25,NL05,
2015-04-10 00:00:00.000,187,25,NL05,
2019-08-09 00:00:00.000,4,10, ,
2015-04-10 00:00:00.000,9,25,FR05,
2015-04-10 00:00:00.000,1,25,FR05,
2015-04-10 00:00:00.000,28,25,IT05,
2015-04-09 00:00:00.000,79,25,GB05,
2015-09-11 00:00:00.000,2,25,CH05,
2015-04-10 00:00:00.000,2,25,FR05,
2015-04-10 00:00:00.000,4,25,FR05,
2015-04-10 00:00:00.000,2,25,FR05,
2015-04-15 00:00:00.000,9,25,SA05,
2015-04-08 00:00:00.000,77,25,NL05,
2015-04-22 00:00:00.000,50,25,BE05,
2015-04-15 00:00:00.000,9,25, ,
2015-04-08 00:00:00.000,96,25,IT05,
2015-04-10 00:00:00.000,5,25,SI05,
2019-05-13 00:00:00.000,2,10, ,
2015-04-08 00:00:00.000,2,25,ZA05,
2015-04-17 00:00:00.000,16,25,ZA05,
2015-04-09 00:00:00.000,3,25,ES05,
2015-04-15 00:00:00.000,13,25,NL05,
2015-04-09 00:00:00.000,108,25,FR05,
2015-04-16 00:00:00.000,14,25,PT05,
2015-04-15 00:00:00.000,12,25,FR05,
2015-04-09 00:00:00.000,7,25,IT05,
2015-04-09 00:00:00.000,67,25,FR05,
2015-04-09 00:00:00.000,25,25,FR05,
2015-04-09 00:00:00.000,3,25,IT05,
2015-04-16 00:00:00.000,7,25,PT05,
2015-04-09 00:00:00.000,69,25,IT05,
2015-04-09 00:00:00.000,236,25,GB05,
2015-04-15 00:00:00.000,2,25,IT05,
2015-04-15 00:00:00.000,158,25,ES05,
2015-04-16 00:00:00.000,69,25,FR05,
2019-07-05 00:00:00.000,4,10, ,
2015-04-20 00:00:00.000,54,25,PL05,
2019-07-05 00:00:00.000,0,10, ,
2019-07-05 00:00:00.000,3,10, ,
2022-02-23 00:00:00.000,164,30,CO05,
2021-12-27 00:00:00.000,1,10, ,
2015-04-16 00:00:00.000,1,25,FR05,
2015-04-09 00:00:00.000,10,25,GB05,
2019-07-05 00:00:00.000,2,10, ,
2019-07-05 00:00:00.000,4,10, ,
2019-07-05 00:00:00.000,0,10, ,
2015-04-24 00:00:00.000,7,25,BR05,
2019-07-08 00:00:00.000,5,10, ,
2019-07-08 00:00:00.000,1,10, ,
2019-07-08 00:00:00.000,5,10, ,
2015-04-22 00:00:00.000,0,25,ES05,
2015-04-22 00:00:00.000,6,25,DK05,
2015-04-22 00:00:00.000,4,25,FI05,
2015-04-22 00:00:00.000,4,25,EE05,
2015-04-08 00:00:00.000,17,25,ES05,
2015-04-22 00:00:00.000,0,25,CH05,
2015-04-22 00:00:00.000,35,25,FR05,
2015-04-15 00:00:00.000,24,25,SI05,
2015-04-08 00:00:00.000,18,25,ES05,
2019-10-14 00:00:00.000,4,10, ,
2020-12-23 00:00:00.000,1,10, ,
2020-12-23 00:00:00.000,3,10, ,
2020-04-07 00:00:00.000,3,10, ,
